Date,Open,High,Low,Close,Volume
2024-01-02,92.0,93.02,90.1,92.12,600000
2024-01-03,92.41,94.33,90.64,92.79,727207
2024-01-04,93.11,94.99,91.18,92.62,852664
2024-01-05,92.67,94.44,91.55,92.52,974645
2024-01-08,92.25,94.51,90.94,93.28,1091483
2024-01-09,92.94,94.74,91.24,93.49,1201588
2024-01-10,93.39,95.16,91.37,93.26,1303475
2024-01-11,93.49,95.81,91.65,93.92,1395789
2024-01-12,94.27,96.05,92.72,94.52,1477324
2024-01-15,94.66,95.58,93.21,94.32,1547041
2024-01-16,94.13,96.33,92.95,94.77,1604086
2024-01-17,94.42,97.54,92.82,95.65,1647804
2024-01-18,95.47,97.42,93.6,95.67,1677745
2024-01-19,95.81,97.09,93.94,95.87,1693678
2024-01-22,96.21,98.13,94.56,96.86,1695587
2024-01-23,97.09,98.99,95.85,97.21,1683677
2024-01-24,97.11,99.1,96.06,97.23,1658368
2024-01-25,96.89,99.67,95.39,98.15,1620288
2024-01-26,97.89,99.79,96.08,98.85,1570266
2024-01-29,98.91,100.48,96.93,98.83,1224317
2024-01-30,99.15,101.42,97.41,99.53,1153625
2024-01-31,99.82,102.26,98.44,100.52,1074528
2024-02-01,100.51,101.82,99.61,100.62,988495
2024-02-02,100.32,102.31,98.94,101.03,897101
2024-02-05,100.71,103.93,98.96,102.14,802008
2024-02-06,102.09,104.38,100.2,102.51,704933
2024-02-07,102.77,104.28,100.85,102.66,802376
2024-02-08,102.99,104.65,101.5,103.7,928164
2024-02-09,103.79,105.96,102.76,104.38,1050705
2024-02-12,104.15,106.29,102.89,104.4,1168319
2024-02-13,104.05,106.94,102.39,105.2,1279405
2024-02-14,105.06,107.34,103.18,106.15,1382464
2024-02-15,106.34,107.64,104.35,106.2,1476122
2024-02-16,106.55,108.47,104.95,106.67,1559151
2024-02-19,106.86,109.61,105.68,107.74,1630490
2024-02-20,107.59,109.47,106.47,107.98,1689260
2024-02-21,107.63,109.09,106.07,108.12,1734777
2024-02-22,107.9,110.72,106.06,109.12,1766566
2024-02-23,109.23,111.52,107.34,109.63,1499364
2024-02-26,109.97,111.69,107.86,109.56,1503127
2024-02-27,109.82,111.48,108.51,110.31,1493032
2024-02-28,110.25,112.37,109.27,111.06,1469469
2024-02-29,110.74,112.73,109.29,110.93,1433041
2024-03-01,110.64,113.19,108.86,111.32,1384550
2024-03-04,111.33,113.67,109.43,112.19,1324986
2024-03-05,112.49,113.48,110.41,112.18,1255514
2024-03-06,112.5,114.11,110.77,112.2,1177451
2024-03-07,112.24,114.92,111.28,113.02,1092250
2024-03-08,112.75,114.95,111.43,113.23,1001474
2024-03-11,112.9,114.12,111.19,112.96,906774
2024-03-12,112.87,114.88,110.98,113.55,809861
2024-03-13,113.78,115.8,111.95,113.99,877517
2024-03-14,114.34,116.2,112.06,113.6,1003608
2024-03-15,113.74,115.29,112.64,113.83,1126678
2024-03-18,113.63,115.42,112.44,114.42,1245040
2024-03-19,114.07,115.71,112.45,114.09,1357081
2024-03-20,113.91,115.82,112.04,113.92,1461288
