Date,Open,High,Low,Close,Volume
2024-01-02,125.0,125.8,123.07,124.87,720000
2024-01-03,124.98,126.59,123.31,125.14,838974
2024-01-04,125.36,127.14,123.52,124.86,956293
2024-01-05,125.16,126.82,123.78,124.65,1070332
2024-01-08,124.99,126.19,123.77,125.05,1179512
2024-01-09,125.4,126.55,123.5,125.1,1282333
2024-01-10,125.42,127.09,123.08,124.87,1377393
2024-01-11,125.12,127.06,123.38,125.27,1463412
2024-01-12,125.43,127.08,123.98,125.65,1539250
2024-01-15,125.7,126.51,124.48,125.49,1603927
2024-01-16,125.43,127.26,124.34,125.8,1656637
2024-01-17,125.63,128.21,124.12,126.42,1696759
2024-01-18,126.16,128.11,124.4,126.46,1723871
2024-01-19,126.13,127.75,124.35,126.63,1737752
2024-01-22,126.28,128.53,124.73,127.36,1738388
2024-01-23,127.03,129.33,125.88,127.65,1725973
2024-01-24,127.36,129.49,126.42,127.72,1700903
2024-01-25,127.51,129.83,126.11,128.41,1663772
2024-01-26,128.31,129.79,126.6,128.95,1615362
2024-01-29,128.97,130.46,127.17,128.99,1309632
2024-01-30,129.12,131.31,127.48,129.52,1241701
2024-01-31,129.75,131.89,128.48,130.25,1165832
2024-02-01,130.55,131.66,129.55,130.35,1083412
2024-02-02,130.7,131.88,129.37,130.66,995929
2024-02-05,131.0,133.12,129.36,131.44,904952
2024-02-06,131.75,133.52,129.89,131.68,812103
2024-02-07,131.92,133.33,130.06,131.76,902966
2024-02-08,131.91,133.29,130.51,132.44,1020600
2024-02-09,132.47,134.33,131.54,132.85,1135166
2024-02-12,132.76,134.57,131.61,132.78,1245079
2024-02-13,132.59,134.86,131.03,133.22,1348827
2024-02-14,132.94,134.82,131.16,133.74,1444994
2024-02-15,133.41,134.81,131.65,133.61,1532282
2024-02-16,133.26,135.44,131.76,133.74,1609532
2024-02-19,133.41,136.03,132.34,134.26,1675741
2024-02-20,133.99,135.57,132.97,134.18,1730079
2024-02-21,133.99,134.87,132.53,134.0,1771901
2024-02-22,133.92,135.88,132.18,134.38,1800756
2024-02-23,134.42,136.21,132.61,134.39,1569399
2024-02-26,134.54,136.17,132.38,133.98,1571787
2024-02-27,134.22,135.29,132.89,134.1,1561086
2024-02-28,134.41,135.62,133.31,134.19,1537665
2024-02-29,134.53,136.24,132.3,133.65,1502094
2024-03-01,133.99,135.76,131.75,133.43,1455130
2024-03-04,133.73,135.11,131.73,133.53,1397709
2024-03-05,133.76,134.64,131.31,132.99,1330930
2024-03-06,133.11,134.62,131.11,132.44,1256037
2024-03-07,132.46,134.25,131.57,132.43,1174403
2024-03-08,132.33,133.95,130.75,131.98,1087503
2024-03-11,131.77,132.83,129.57,131.18,996897
2024-03-12,130.89,132.18,129.1,130.95,904202
2024-03-13,130.61,132.32,128.88,130.61,966933
2024-03-14,130.26,132.02,128.24,129.69,1084852
2024-03-15,129.37,130.73,128.18,129.18,1199918
2024-03-18,128.92,129.82,127.83,128.92,1310537
2024-03-19,128.75,130.26,126.51,128.02,1415188
2024-03-20,127.96,129.75,125.47,127.23,1512439
2024-03-21,127.29,128.89,125.19,126.96,1353975
2024-03-22,127.12,128.16,124.66,126.21,1432619
2024-03-25,126.46,127.7,124.08,125.21,1500345
2024-03-26,125.53,127.25,123.88,124.84,1556300
2024-03-27,125.18,126.94,122.87,124.28,1599813
2024-03-28,124.62,125.97,121.51,123.22,1630409
2024-03-29,123.52,124.43,120.87,122.67,1647812
2024-04-01,122.88,124.41,120.67,122.3,1651955
2024-04-02,122.41,124.21,120.06,121.33,1642974
2024-04-03,121.33,122.92,119.77,120.59,1621214
2024-04-04,120.47,121.49,119.05,120.34,1587216
2024-04-05,120.12,121.38,117.94,119.58,1541714
2024-04-08,119.29,121.01,116.92,118.71,1485621
2024-04-09,118.37,120.24,116.67,118.48,1420015
2024-04-10,118.14,119.47,116.64,118.02,1346123
2024-04-11,117.71,118.64,116.22,117.14,1265301
2024-04-12,116.89,118.43,115.68,116.85,1179012
2024-04-15,116.69,118.49,115.11,116.67,1088806
2024-04-16,116.63,118.22,114.15,115.93,996294
2024-04-17,116.0,117.01,113.77,115.52,783878
2024-04-18,115.7,116.98,114.08,115.57,902054
2024-04-19,115.84,117.57,114.02,115.09,1017591
2024-04-22,115.42,117.17,113.58,114.6,1128891
2024-04-23,114.95,116.28,113.29,114.76,1234418
2024-04-24,115.09,116.04,112.87,114.61,1332729
2024-04-25,114.9,116.45,112.35,114.13,1422494
2024-04-26,114.33,116.13,112.69,114.28,1502513
2024-04-29,114.38,116.05,113.18,114.47,1571741
2024-04-30,114.45,115.44,113.23,114.11,1629302
2024-05-01,113.98,115.47,112.63,114.18,1674498
2024-05-02,113.95,116.36,112.26,114.62,1706829
2024-05-03,114.32,116.25,112.52,114.5,1725992
