Date,Open,High,Low,Close,Volume
2024-01-02,95.0,95.8,93.2,95.0,380000
2024-01-03,95.11,97.24,93.44,95.8,498974
2024-01-04,96.02,97.8,94.18,95.52,616293
2024-01-05,95.81,97.48,94.5,95.37,730332
2024-01-08,95.71,97.59,94.5,96.45,839512
2024-01-09,96.8,97.98,95.2,96.83,942333
2024-01-10,97.15,98.82,94.87,96.66,1037393
2024-01-11,96.92,99.55,95.18,97.77,1123412
2024-01-12,97.93,100.24,96.47,98.8,1199250
2024-01-15,98.85,99.67,97.8,98.81,1263927
2024-01-16,98.74,101.19,97.66,99.74,1316637
2024-01-17,99.56,103.07,98.05,101.28,1356759
2024-01-18,101.01,103.32,99.25,101.67,1383871
2024-01-19,101.34,103.46,99.56,102.34,1397752
2024-01-22,101.99,105.28,100.43,104.11,1398388
2024-01-23,103.78,106.69,102.63,105.01,1385973
2024-01-24,104.73,107.26,103.78,105.48,1360903
2024-01-25,105.28,108.61,103.88,107.19,1323772
2024-01-26,107.09,109.44,105.38,108.61,1275362
2024-01-29,108.62,110.49,106.83,109.02,969632
2024-01-30,109.15,112.21,107.51,110.42,901701
2024-01-31,110.65,113.84,109.37,112.2,825832
2024-02-01,112.5,113.86,111.7,112.75,743412
2024-02-02,113.1,114.88,111.81,113.7,655929
2024-02-05,114.04,117.27,112.4,115.58,564952
2024-02-06,115.89,118.19,114.09,116.41,472103
2024-02-07,116.65,118.32,114.95,116.92,562966
2024-02-08,117.06,119.45,115.67,118.6,680600
2024-02-09,118.63,121.23,117.69,119.75,795166
2024-02-12,119.66,121.73,118.51,119.94,905079
2024-02-13,119.75,122.79,118.19,121.15,1008827
2024-02-14,120.88,123.6,119.1,122.51,1104994
2024-02-15,122.18,123.79,120.42,122.6,1192282
2024-02-16,122.25,124.88,120.74,123.18,1269532
2024-02-19,122.85,126.3,121.78,124.53,1335741
2024-02-20,124.26,126.08,123.24,124.69,1390079
2024-02-21,124.5,125.52,123.04,124.65,1431901
2024-02-22,124.57,127.22,122.83,125.72,1460756
2024-02-23,125.76,127.85,123.97,126.05,1229399
2024-02-26,126.2,127.83,123.93,125.53,1231787
2024-02-27,125.77,127.14,124.56,126.07,1221086
2024-02-28,126.38,127.75,125.5,126.54,1197665
2024-02-29,126.89,128.59,124.41,125.76,1162094
2024-03-01,126.1,127.87,123.94,125.62,1115130
2024-03-04,125.93,127.47,124.13,126.09,1057709
2024-03-05,126.32,127.2,123.63,125.3,990930
2024-03-06,125.43,126.93,123.16,124.49,916037
2024-03-07,124.51,126.54,123.65,124.74,834403
2024-03-08,124.64,126.26,122.88,124.11,747503
2024-03-11,123.9,124.96,121.18,122.79,656897
2024-03-12,122.5,123.82,120.71,122.6,564202
2024-03-13,122.26,123.97,120.44,122.18,626933
2024-03-14,121.83,123.59,119.16,120.61,744852
2024-03-15,120.28,121.65,118.85,119.85,859918
2024-03-18,119.58,120.49,118.48,119.57,970537
2024-03-19,119.4,120.92,116.52,118.04,1075188
2024-03-20,117.97,119.77,114.96,116.72,1172439
2024-03-21,116.77,118.38,114.64,116.42,1013975
2024-03-22,116.58,117.62,113.61,115.16,1092619
2024-03-25,115.41,116.66,112.29,113.43,1160345
2024-03-26,113.75,115.47,111.96,112.91,1216300
2024-03-27,113.26,115.02,110.64,112.05,1259813
2024-03-28,112.39,113.74,108.47,110.19,1290409
2024-03-29,110.48,111.4,107.52,109.32,1307812
2024-04-01,109.54,111.06,107.2,108.83,1311955
2024-04-02,108.94,110.74,105.87,107.14,1302974
2024-04-03,107.14,108.73,105.09,105.9,1281214
2024-04-04,105.79,106.81,104.35,105.65,1247216
2024-04-05,105.43,106.68,102.74,104.39,1201714
2024-04-08,104.09,105.82,101.11,102.91,1145621
2024-04-09,102.57,104.44,100.86,102.69,1080015
2024-04-10,102.34,103.68,100.63,102.02,1006123
2024-04-11,101.7,102.64,99.6,100.53,925301
2024-04-12,100.28,101.82,99.02,100.18,839012
2024-04-15,100.03,101.89,98.46,100.09,748806
2024-04-16,100.05,101.63,97.1,98.88,656294
2024-04-17,98.95,99.95,96.57,98.33,443878
2024-04-18,98.51,99.95,97.01,98.68,562054
2024-04-19,98.95,100.68,96.93,97.99,677591
2024-04-22,98.32,100.07,96.27,97.3,788891
2024-04-23,97.65,99.19,96.18,97.87,894418
2024-04-24,98.21,99.16,96.12,97.86,992729
2024-04-25,98.14,99.7,95.4,97.19,1082494
2024-04-26,97.39,99.56,95.8,97.76,1162513
2024-04-29,97.86,100.0,96.66,98.42,1231741
2024-04-30,98.4,99.39,97.12,98.01,1289302
2024-05-01,97.87,99.71,96.52,98.42,1334498
2024-05-02,98.19,101.33,96.5,99.59,1366829
2024-05-03,99.29,101.41,97.49,99.66,1385992
2024-05-06,99.32,101.2,97.65,99.9,1391891
2024-05-07,99.55,102.29,98.23,101.33,1384637
2024-05-08,101.02,103.57,100.16,102.01,1364546
2024-05-09,101.77,103.95,100.53,102.15,1332134
2024-05-10,102.01,105.13,100.4,103.56,1288111
2024-05-13,103.53,105.81,101.74,104.84,1233365
2024-05-14,104.93,106.39,103.2,105.08,921955
2024-05-15,105.28,107.99,103.84,106.25,849087
2024-05-16,106.53,109.7,105.54,107.97,769102
2024-05-17,108.3,109.79,107.2,108.5,683451
2024-05-20,108.85,110.31,107.33,109.32,593674
2024-05-21,109.65,112.78,107.89,111.2,501374
2024-05-22,111.48,113.95,109.7,112.15,507806
2024-05-23,112.33,114.23,110.79,112.67,626209
2024-05-24,112.75,115.36,111.62,114.41,742190
2024-05-27,114.37,117.09,113.41,115.77,854142
2024-05-28,115.62,117.88,114.21,116.14,960521
2024-05-29,115.89,119.2,114.17,117.47,1059869
2024-05-30,117.16,120.4,115.36,119.12,1150840
2024-05-31,118.77,120.51,117.14,119.51,1232217
2024-06-03,119.17,121.89,117.91,120.3,1302932
2024-06-04,120.0,123.78,119.18,121.98,1362085
2024-06-05,121.75,124.1,120.46,122.55,1408956
2024-06-06,122.43,123.75,120.77,122.81,1443016
2024-06-07,122.8,125.55,121.0,124.22,1463937
2024-06-10,124.33,126.78,122.63,125.03,1224595
2024-06-11,125.24,126.96,123.52,124.9,1219073
2024-06-12,125.19,127.04,124.27,125.78,1200661
2024-06-13,126.12,127.76,124.95,126.74,1169848
2024-06-14,127.09,128.69,124.86,126.43,1127318
2024-06-17,126.75,128.55,124.86,126.64,1073939
2024-06-18,126.9,129.1,125.15,127.56,1010745
2024-06-19,127.73,128.65,125.78,127.27,938925
2024-06-20,127.33,128.67,125.76,126.82,859804
2024-06-21,126.76,129.21,125.72,127.45,774818
2024-06-24,127.28,129.02,125.81,127.3,685497
2024-06-25,127.05,128.29,124.59,126.34,593438
2024-06-26,126.02,127.48,124.23,126.45,571721
2024-06-27,126.1,128.06,124.52,126.45,690322
2024-06-28,126.12,127.91,124.04,125.23,806718
2024-07-01,124.94,126.46,123.79,124.69,919295
2024-07-02,124.48,125.63,123.11,124.72,1026500
2024-07-03,124.61,125.97,121.81,123.5,1126862
2024-07-04,123.5,125.27,120.52,122.32,1219018
2024-07-05,122.44,124.15,120.52,122.19,1054732
2024-07-08,122.41,123.64,119.85,121.16,1126918
2024-07-09,121.46,122.51,118.67,119.51,1187652
2024-07-10,119.85,121.47,117.78,119.02,1236188
2024-07-11,119.36,121.16,116.66,118.27,1271972
2024-07-12,118.59,120.1,114.63,116.42,1294649
2024-07-15,116.67,117.56,113.71,115.44,1304067
2024-07-16,115.59,116.97,113.49,114.93,1300282
2024-07-17,114.97,116.73,112.19,113.18,1283557
2024-07-18,113.11,114.81,110.61,111.72,1254355
2024-07-19,111.53,112.75,109.75,111.27,1213335
2024-07-22,111.01,112.07,108.11,109.88,1161339
2024-07-23,109.55,111.18,106.32,108.09,1099383
2024-07-24,107.74,109.54,106.0,107.54,1028635
2024-07-25,107.2,108.7,105.5,106.63,950402
2024-07-26,106.34,107.22,103.8,104.77,866109
2024-07-29,104.57,105.96,102.54,103.97,777272
2024-07-30,103.87,105.65,101.8,103.52,685483
2024-07-31,103.55,105.24,100.12,101.91,635625
2024-08-01,102.05,103.25,99.2,100.82,507396
2024-08-02,101.05,102.14,99.45,100.7,624178
2024-08-05,101.01,102.65,98.76,99.59,737353
2024-08-06,99.94,101.73,97.02,98.32,845358
2024-08-07,98.67,100.15,96.67,98.33,946709
2024-08-08,98.64,99.5,96.07,97.87,1040028
2024-08-09,98.1,99.5,94.94,96.63,1124062
2024-08-12,96.77,98.54,95.21,96.58,1197703
2024-08-13,96.61,98.44,95.7,96.75,1260003
2024-08-14,96.66,97.85,94.64,95.82,1310195
2024-08-15,95.62,96.72,94.03,95.61,1347696
2024-08-16,95.33,97.91,93.54,96.27,1372126
2024-08-19,95.93,97.73,94.13,95.88,1383305
2024-08-20,95.53,97.0,94.04,95.53,1381263
2024-08-21,95.2,97.28,94.15,96.44,1366233
2024-08-22,96.17,98.14,95.12,96.73,1338653
2024-08-23,96.54,98.32,94.91,96.39,1299157
2024-08-26,96.31,98.98,94.56,97.3,1248564
2024-08-27,97.34,99.42,95.56,98.25,1187865
2024-08-28,98.4,99.51,96.55,98.13,871212
2024-08-29,98.38,100.52,97.19,98.87,793893
2024-08-30,99.18,102.1,98.28,100.31,710319
2024-09-02,100.66,102.12,99.25,100.62,621995
2024-09-03,100.96,101.95,99.27,101.13,530504
2024-09-04,101.43,104.22,99.63,102.79,452524
2024-09-05,103.02,105.44,101.36,103.66,571434
2024-09-06,103.78,105.68,102.47,104.01,688575
2024-09-09,104.02,106.76,103.18,105.61,802320
2024-09-10,105.5,108.13,104.25,107.0,911098
2024-09-11,106.79,109.03,105.17,107.36,1013415
2024-09-12,107.07,110.44,105.28,108.66,1107875
2024-09-13,108.32,111.87,106.59,110.43,1193209
2024-09-16,110.08,111.79,108.65,110.98,1268287
2024-09-17,110.66,113.29,109.69,111.85,1332141
2024-09-18,111.59,115.51,110.48,113.72,1383978
2024-09-19,113.56,116.27,112.02,114.61,1423190
2024-09-20,114.55,116.22,112.78,115.08,1449370
2024-09-23,115.14,117.89,113.37,116.75,1462311
2024-09-24,116.92,119.64,115.39,117.97,1215014
2024-09-25,118.23,120.01,117.08,118.19,1201688
2024-09-26,118.52,120.83,117.54,119.39,1175742
2024-09-27,119.74,121.65,118.31,120.84,1137784
2024-09-30,121.17,122.63,119.28,121.0,1088610
2024-10-01,121.29,123.38,119.5,121.6,1029190
2024-10-02,121.81,124.68,120.19,123.02,960654
2024-10-03,123.13,124.43,121.88,123.3,884274
2024-10-04,123.29,124.46,122.45,123.3,801445
2024-10-07,123.18,126.1,121.86,124.43,713662
2024-10-08,124.2,126.68,122.54,124.9,622499
