Date,Open,High,Low,Close,Volume
2024-01-02,72.0,72.96,70.2,72.16,720000
2024-01-03,72.27,74.17,70.6,72.72,838974
2024-01-04,72.94,74.72,71.39,72.73,956293
2024-01-05,73.03,74.69,71.94,72.81,1070332
2024-01-08,73.15,74.64,71.93,73.5,1179512
2024-01-09,73.85,75.0,72.24,73.84,1282333
2024-01-10,74.16,75.83,72.11,73.9,1377393
2024-01-11,74.15,76.38,72.41,74.59,1463412
2024-01-12,74.75,76.69,73.3,75.26,1539250
2024-01-15,75.31,76.21,74.3,75.39,1603927
2024-01-16,75.33,77.45,74.24,75.99,1656637
2024-01-17,75.82,78.69,74.31,76.9,1696759
2024-01-18,76.64,78.88,74.88,77.23,1723871
2024-01-19,76.9,78.81,75.12,77.69,1737752
2024-01-22,77.34,79.88,75.79,78.71,1738388
2024-01-23,78.38,80.97,77.23,79.29,1725973
2024-01-24,79.0,81.42,78.06,79.65,1700903
2024-01-25,79.44,82.05,78.04,80.63,1663772
2024-01-26,80.53,82.3,78.82,81.46,1615362
2024-01-29,81.48,83.26,79.68,81.79,1309632
2024-01-30,81.92,84.4,80.28,82.61,1241701
2024-01-31,82.84,85.27,81.57,83.63,1165832
2024-02-01,83.93,85.13,83.13,84.02,1083412
2024-02-02,84.37,85.8,83.08,84.62,995929
2024-02-05,84.96,87.37,83.32,85.69,904952
2024-02-06,86.0,88.0,84.2,86.22,812103
2024-02-07,86.46,88.0,84.76,86.59,902966
2024-02-08,86.74,88.41,85.34,87.56,1020600
2024-02-09,87.59,89.74,86.66,88.26,1135166
2024-02-12,88.17,90.27,87.02,88.48,1245079
2024-02-13,88.29,90.85,86.73,89.21,1348827
2024-02-14,88.93,91.1,87.15,90.02,1444994
2024-02-15,89.69,91.38,87.93,90.18,1532282
2024-02-16,89.83,92.3,88.33,90.6,1609532
2024-02-19,90.27,93.18,89.2,91.41,1675741
2024-02-20,91.14,93.01,90.12,91.62,1730079
2024-02-21,91.43,92.6,89.97,91.73,1771901
2024-02-22,91.65,93.9,89.91,92.4,1800756
2024-02-23,92.44,94.5,90.65,92.7,1569399
2024-02-26,92.85,94.48,90.98,92.58,1571787
2024-02-27,92.82,94.06,91.61,92.99,1561086
2024-02-28,93.3,94.58,92.42,93.37,1537665
2024-02-29,93.71,95.42,91.77,93.12,1502094
2024-03-01,93.46,95.23,91.51,93.19,1455130
2024-03-04,93.49,94.96,91.69,93.58,1397709
2024-03-05,93.81,94.69,91.65,93.33,1330930
2024-03-06,93.45,94.96,91.74,93.07,1256037
2024-03-07,93.09,95.15,92.22,93.35,1174403
2024-03-08,93.25,94.87,91.96,93.19,1087503
2024-03-11,92.98,94.04,91.07,92.68,996897
2024-03-12,92.39,93.97,90.6,92.74,904202
2024-03-13,92.4,94.4,90.67,92.69,966933
2024-03-14,92.34,94.1,90.61,92.06,1084852
2024-03-15,91.74,93.2,90.73,91.84,1199918
2024-03-18,91.58,92.77,90.49,91.87,1310537
2024-03-19,91.7,93.21,89.75,91.26,1415188
2024-03-20,91.2,92.99,89.0,90.76,1512439
2024-03-21,90.82,92.42,89.01,90.78,1353975
2024-03-22,90.94,91.98,88.77,90.32,1432619
2024-03-25,90.57,91.81,88.48,89.61,1500345
2024-03-26,89.93,91.65,88.57,89.53,1556300
2024-03-27,89.87,91.63,87.85,89.26,1599813
2024-03-28,89.6,90.95,86.78,88.49,1630409
2024-03-29,88.79,89.7,86.43,88.23,1647812
2024-04-01,88.44,89.97,86.52,88.15,1651955
2024-04-02,88.26,90.06,86.2,87.47,1642974
2024-04-03,87.47,89.06,86.2,87.02,1621214
2024-04-04,86.9,88.08,85.61,87.06,1587216
2024-04-05,86.84,88.1,84.95,86.59,1541714
2024-04-08,86.3,88.02,84.22,86.01,1485621
2024-04-09,85.67,87.83,83.97,86.07,1420015
2024-04-10,85.73,87.24,84.34,85.9,1346123
2024-04-11,85.59,86.52,84.39,85.31,1265301
2024-04-12,85.06,86.85,83.9,85.31,1179012
2024-04-15,85.15,87.22,83.58,85.42,1088806
2024-04-16,85.38,86.97,83.19,84.97,996294
2024-04-17,85.04,86.05,83.1,84.85,783878
2024-04-18,85.03,86.47,83.54,85.19,902054
2024-04-19,85.46,87.19,83.93,85.0,1017591
2024-04-22,85.33,87.08,83.78,84.8,1128891
2024-04-23,85.15,86.57,83.69,85.25,1234418
2024-04-24,85.58,86.53,83.65,85.39,1332729
2024-04-25,85.68,87.23,83.42,85.2,1422494
2024-04-26,85.4,87.44,83.81,85.64,1502513
2024-04-29,85.74,87.7,84.54,86.12,1571741
2024-04-30,86.1,87.09,85.17,86.05,1629302
2024-05-01,85.92,87.7,84.57,86.41,1674498
2024-05-02,86.18,88.88,84.49,87.14,1706829
2024-05-03,86.84,89.06,85.04,87.31,1725992
2024-05-06,86.97,88.88,85.3,87.57,1731891
2024-05-07,87.22,89.4,85.9,88.43,1724637
2024-05-08,88.12,90.47,87.27,88.91,1704546
2024-05-09,88.67,90.92,87.44,89.12,1672134
2024-05-10,88.98,91.53,87.36,89.96,1628111
2024-05-13,89.93,91.71,88.14,90.74,1573365
2024-05-14,90.83,92.3,89.1,91.0,1261955
2024-05-15,91.19,93.46,89.75,91.72,1189087
2024-05-16,91.99,94.45,91.0,92.72,1109102
2024-05-17,93.05,94.41,91.95,93.11,1023451
2024-05-20,93.46,94.65,91.94,93.66,933674
2024-05-21,93.99,96.32,92.23,94.74,841374
2024-05-22,95.02,97.15,93.24,95.35,847806
2024-05-23,95.54,97.3,94.0,95.75,966209
2024-05-24,95.83,97.72,94.7,96.76,1082190
2024-05-27,96.72,98.9,95.76,97.58,1194142
2024-05-28,97.43,99.65,96.02,97.9,1300521
